Name,Calories,Carbohydrates,Protein,Fats,Free Sugar,Fibre,Sodium,Calcium,Iron,Vitamin C
yoga bar 20g protein hazelnut,1.0,429.0,13.0,23.0,34.6,23.7,29.7,0.0,0.0,0.0
Mango 100% juice,184.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rose Lassi - Cavin's - 180 ml,415.0,0.056,17.3,2.06,10.0,18.1,0.0,0.0,0.0,0.0
KitKat,1.0,60.9,7.8,19.8,39.5,27.0,0.289,0.0,0.0,0.0
Apple Juice - Tropicana,393.0,22.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cashew Mandel Mix - chili - Snack Fun,2.0,21.0,22.8,51.5,5.1,0.0,0.68,0.0,0.0,0.0
ON Gold Standard 100% Whey Protein - Optimum Nutrition - 2.27 kg,3.0,9.0,1.539,0.0,0.0,73.0,0.0,0.0,0.0,0.0
Greek yogurt,356.0,8.8,7.0,2.4,5.6,0.0,0.104,0.0,0.0,0.0
Gangotri Khakra Plain - 200 g,25.3,0.5,0.86,0.0,7.2,13.8,0.0,0.0,0.0,0.0
كرك - Herbal rea,264.0,8.6,2.6,2.1,6.0,0.7,0.0,0.0,0.0,0.0
Karak tea,176.0,0.0,0.0,13.333,0.0,0.0,0.0,0.0,0.0,0.0
Peanut Butter Creamy,2.0,13.333,33.333,53.333,0.0,0.0,0.0,0.0,0.0,0.0
asitis - 500g,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
Aachi lime pikle - 10 pieces,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Farali mixture - Badalia Foods - 25g,43.0,4.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
Nouille masala - Nestle,1.0,63.5,8.0,15.7,1.2,0.0,2.931,0.0,0.0,0.0
Monaco,2.0,68.4,7.8,21.0,7.8,0.0,0.0,0.0,0.0,0.0
Schezwan Chutney,600.0,18.667,2.0,6.667,3.333,0.0,4.93,0.0,0.0,0.0
BRITANNIA - GOOD DAY - 38g,2.0,67.0,7.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
Allo Matar,544.0,11.0,2.0,8.0,0.3,0.0,0.8,0.0,0.0,0.0
Khajoor Fard {date Crown} 500 GM - 500g,1.0,80.0,3.0,0.45,80.0,0.0,0.1,0.0,0.0,0.0
Hard Candy - Coastal Bay confections - 85g,861.0,94.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amul Masti Buttermilk - 200,29.3,0.1,0.0,3.0,3.6,3.6,3.0,0.0,0.0,0.0
Rava idli - MTR - 500 gm,1.0,63.0,1.5,8.0,1.5,0.0,9.0,0.0,0.0,0.0
Exotic dark - Hershey's,1.0,80.5,1.74,13.7,64.7,0.0,0.152,0.0,0.0,0.0
Munch - Nestlé,1.0,54.4,6.3,22.1,34.0,0.0,0.0,0.0,0.0,0.0
Thumbs up - Coca-Cola,163.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato discs - 60g,2.0,59.2,8.0,26.3,6.2,0.0,0.0,0.0,0.0,0.0
CornFlakes Almond Honey - Kellogg's,335.0,81.9,6.2,8.7,30.0,1.8,1.075,0.0,0.0,0.0
Manna Oats - Steel Cut,1.0,67.0,11.0,10.0,2.0,14.0,0.0,0.0,0.0,0.0
Organic almond,118.0,1.5,1.05,2.0,0.1,0.0,0.0,0.0,0.0,0.0
Orange Delight - Tropicana,209.0,12.4,0.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Maggi,1.0,59.6,8.2,13.5,1.8,2.0,0.0,0.0,0.0,0.0
Hershy's Kisses cookies 'n' creme - Hershey's,2.0,57.3,8.8,30.0,51.7,0.0,0.348,0.0,0.0,0.0
Coconut Milk Powder - Maggi,2.0,10.0,8.0,63.4,6.0,0.7,0.0,0.0,0.0,0.0
Rich Tomato Ketchup - Maggi,582.0,33.5,1.2,0.0,30.8,1.8,0.0,0.0,0.0,0.0
2 minute noodle - Maggi,1.0,59.6,0.0,13.5,1.8,2.0,2.571,0.0,0.0,0.0
Oreo -,2.0,71.9,5.2,19.6,38.8,0.0,1.05,0.0,0.0,0.0
Kissan peanut butter - 350g,2.0,20.7,25.7,49.3,10.7,8.67,0.672,0.0,0.0,0.0
Pepper Thattai - Adyar Ananda Bhavan - 250g,2.0,40.0,10.0,46.7,0.0,3.33,1.58,0.0,0.0,0.0
Rolled oats,1.0,62.5,13.1,6.7,0.87,9.6,0.0,0.0,0.0,0.0
Minute maid - 1,218.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
coca powder - Fruitoman's - 50 g,1.0,54.86,21.93,13.56,1.16,25.85,0.066,0.0,0.0,0.0
Rolled Oats - True Elements - 40g,1.0,62.5,13.1,6.7,0.87,9.67,0.008,0.0,0.0,0.0
Doodh Biscuits,1.0,68.8,7.4,17.8,20.4,6.0,0.0,0.0,0.0,0.0
S Sunil medical khargon - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chupa chups butes,1.0,83.0,2.8,1.9,59.0,0.0,0.0,0.0,0.0,0.0
Sprite - coca cola - 750 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourbon - Britannia - 60g,2.0,72.0,5.0,20.0,37.5,0.0,0.0,0.0,0.0,0.0
Perrier Citron,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0
Chocolate Peanut Butter - Real Health - 350 g,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Milkshake vanilla Ice cream flavor - Hershey's,665.0,29.0,3.0,3.2,29.0,0.0,0.258,0.0,0.0,0.0
"Kelloggs Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds - Kellogg's - 750 g",1.0,2.8,79.0,6.0,1.6,0.0,23.5,0.0,0.0,0.0
Green Chilli -  - 200g+50g,0.23,12.26,1.84,0.0,0.0,1.04,61.0,0.0,0.0,0.0
Gorus cookies - Haldiram's,2.0,58.82,7.35,27.58,26.04,3.11,0.116,0.0,0.0,0.0
Chatpata Dal - Haldiram's,1.0,57.3,19.5,17.3,4.1,18.4,1.948,0.0,0.0,0.0
peach - Coca-Cola,234.0,14.1,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0
Olive oil extra virgin - Bertolli,3.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
Choco mint protein shake,324.0,9.75,9.0,0.29,7.48,0.0,0.6,0.0,0.0,0.0
Yoga Bar,1.0,33.429,29.857,23.714,22.857,13.143,0.968,0.0,0.0,0.0
Charged - Thums Up - 250 ml,649.0,15.4,0.0,0.0,15.3,0.0,34.5,0.0,0.0,0.0
Milkybar - Nestlé - 24.5 g,2.0,0.05,1.0,27.3,51.6,39.9,11.1,0.0,0.0,0.0
Atta Maggi,1.0,63.3,8.0,13.0,2.7,4.8,2.052,0.0,0.0,0.0
snac tac mango jam - 100g,1.0,71.8,0.5,0.4,67.3,0.0,0.401,0.0,0.0,0.0
Lassi Mango - Amul,362.0,14.5,2.2,2.2,10.1,0.0,0.0,0.0,0.0,0.0
Mountain Dew - PepsiCo - 250 ml,205.0,0.0,0.0,0.0,12.3,12.3,0.0,0.0,0.0,0.0
Premium Jaggery pieces - Rasmalai Gold - 800g,1.0,94.61,0.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Thoughtful Kabuki Channa - Namdharis - 500gms,1.0,66.62,18.2,5.01,2.0,11.11,0.0,0.0,0.0,0.0
Thoughtful Organic Whole Wheat - Namdharis - 1KG,1.0,76.0,11.9,2.26,0.0,12.17,0.0,0.0,0.0,0.0
Mixed Pickle - Mother's Recipe - 50 g,556.0,11.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0
Puffcorn - Kurkure - 57 g,385.0,11.5,1.1,4.7,0.8,0.0,0.338,0.0,0.0,0.0
Shami Kabab - Vezlay Food Pvt Ltd. - 500,150.98,19.1,15.27,1.5,0.0,4.18,5.0,0.0,0.0,0.0
Budweiser Beats - AB InBev - 250ml,163.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
desiccated coconut powder - sheer coco - 100g,2.0,0.0,9.6,62.5,0.0,8.5,0.0,0.0,0.0,0.0
Nivea shea smooth body milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schezwan Sauce,126.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Dried Cranberries - Nutraj - 180g,1.0,86.47,0.99,0.51,49.69,0.0,0.0,0.0,0.0,0.0
Bingo Mad Angles PIZZA..AAAAH - ITC - 36.5g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amul Lassi,364.0,14.0,2.0,2.0,25.3,0.0,0.0,0.0,0.0,0.0
Parle-G Original Gluco Biscuits - 800 g,1.0,77.3,6.9,13.0,25.5,0.0,0.752,0.0,0.0,0.0
Cadbury celebrations - chocolates - 135.7g,27.7,61.2,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0
full bloom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medu avada - Minute khana - 283 g,1.0,36.207,13.793,20.69,0.0,5.172,1.422,0.0,0.0,0.0
asitis - 500g,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
Popcorn - 15,2.0,49.0,7.0,39.0,0.0,8.0,0.0,0.0,0.0,0.0
Kelloggs - kellogg's - 240g,1.0,80.0,8.0,6.0,16.0,5.0,0.15,0.0,0.0,0.0
Frooti - parle Agro - 150ml,272.0,16.2,0.0,2.5,15.5,0.0,0.0,0.0,0.0,0.0
"Nouilles instantanées, Super Piquant et épicé - Nongshim",1.0,67.0,8.1,14.0,3.7,0.0,3.2,0.0,0.0,0.0
Saffola Masala Veggie Twist Oats - 38 g,1.0,0.0,12.4,9.9,69.2,5.1,5.0,0.0,0.0,0.0
5star - Cadbury - 25g,1.0,72.7,3.3,15.9,60.5,0.0,0.378,0.0,0.0,0.0
Premium kachi ghani pure mustard oil - Fortune - 1 L,3.0,66.0,0.0,13.6,27.0,1.0,0.0,0.0,0.0,0.0
Cracker - Britannia - 100g,15.0,0.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Badam drink mix - MTR - 500g,1.0,80.0,4.8,4.8,76.0,1.1,0.132,0.0,0.0,0.0
Dairy Milk Silky Bubbly BubbleGum - Cadbury - 120g,2.0,0.1,58.3,31.6,25.1,58.9,0.0,0.0,0.0,0.0
Micronized Creatine Powder - Optimum Nutrition - 250g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatorade,100.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
yippee noodles (ITC) -  - 420g,1.0,2.6,62.6,20.1,128.5,0.1,4.6,0.0,0.0,0.0
Chocolate Milkshake - Cavin's - 1 Liter,450.0,13.0,8.0,5.6,17.6,33.0,3.0,0.0,0.0,0.0
Jamaican All Spice - 1,0.0,0.0,0.0,0.0,0.0,49.2,0.0,0.0,0.0,0.0
Jolochip,0.0,21.4,14.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0
Creamy Dark Chocolate Peanut Butter - Muscle Blaze - 750g,2.0,10.35,3.02,45.42,21.85,18.32,30.0,0.0,0.0,0.0
Puff Dough Paratha - Switz - 400 grams,1.0,43.0,8.0,14.0,3.0,10.0,425.0,0.0,0.0,0.0
Tropicana,238.0,14.4,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
Matcha Green Tea - 50 g,1.0,60.64,23.09,8.6,0.0,0.0,0.0,0.0,0.0,0.0
Ragi with oats biscuits,1.0,64.31,6.13,20.23,3.13,6.86,0.0,0.0,0.0,0.0
Sweet cream vanilla,272.0,14.1,2.3,2.3,3.0,2.5,0.0,0.0,0.0,0.0
Jaw dropping skin,3.0,100.0,0.0,0.0,100.0,0.0,22.5,0.0,0.0,0.0
Badam Shakers,437.0,13.0,3.0,4.5,13.0,0.0,0.105,0.0,0.0,0.0
100 Pipers - Seagram’s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweet Cannoman Peanut Butter,2.0,30.3,22.05,42.53,17.89,6.93,0.112,0.0,0.0,0.0
Masala delight,1.0,65.7,9.0,19.0,2.0,2.0,4.05,0.0,0.0,0.0
Exotic Dark - Hershey’s,2.0,52.0,8.0,34.7,36.8,0.0,0.848,0.0,0.0,0.0
Chupa chups mango + orange flavour,1.0,95.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
Green Chilli Pickle - Engine,495.0,0.0,0.0,7.63,9.41,0.0,2.97,0.0,0.0,0.0
Patal pohe chiwda - Kaka Halwai sweets - 250g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hi-Nutrition Breakfast Cereal,1.0,78.2,12.3,6.6,4.5,5.5,0.578,0.0,0.0,0.0
Waffy,2.0,74.6,4.0,18.4,52.6,0.0,0.0,0.0,0.0,0.0
Juzt Jelly,1.0,86.0,0.02,0.0,74.0,0.0,0.0,0.0,0.0,0.0
Peanut butter,812.0,7.0,10.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0
20/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sizzlin hot nacho,2.0,60.4,7.4,27.7,4.9,0.0,1.608,0.0,0.0,0.0
Multani rajbhogprash,1.0,78.7,0.0,4.6,60.1,3.7,0.0,0.0,0.0,0.0
rich tomato sauce - Maggi,506.0,30.2,0.6,0.0,27.0,1.3,2.084,0.0,0.0,0.0
Tomato Sauce,556.0,30.9,1.1,0.4,29.2,0.6,1.722,0.0,0.0,0.0
Oven Cookie - Margarita,544.0,20.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0
Max protein active choco fudge bar,1.0,33.9,20.0,12.5,10.7,5.0,0.465,0.0,0.0,0.0
yavira - Kimaya Himalayan Beverages - 500 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hangyo Pink Guava Icecream,808.0,21.7,3.6,10.2,18.45,0.0,0.325,0.0,0.0,0.0
Hangyo Roasted Almonds Icecream,862.0,22.1,4.0,11.3,18.0,0.0,0.0,0.0,0.0,0.0
Patanjali Atta noodles Chatpata flavour,1.0,62.43,10.44,18.88,5.81,0.0,3.525,0.0,0.0,0.0
Wai wai masala noodles,1.0,60.0,10.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0
Prem raisins -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aloo bhujia -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tata Go fit plant protein shake,1.0,9.6,72.0,4.0,0.4,0.0,2.28,0.0,0.0,0.0
Mixed Fruit,218.0,13.1,0.2,0.0,13.1,0.0,0.0,0.0,0.0,0.0
Rajdhani Maida -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharbat Khus - Shree Guruji - 750ml,1.0,72.92,0.1,0.21,52.21,0.0,0.039,0.0,0.0,0.0
Happychef Tandoori Paneer Tikka Pizza - 240 g,1.0,0.0,2.0,9.0,20.0,30.0,1.0,0.0,0.0,0.0
Winkies chocolate swiss roll,1.0,59.41,6.75,15.91,28.91,0.0,0.259,0.0,0.0,0.0
Danish bun,1.0,57.3,8.3,6.4,18.0,0.0,0.0,0.0,0.0,0.0
Ringo Star ring -  - 100g,2.0,66.5,7.0,22.0,3.13,0.0,0.0,0.0,0.0,0.0
Maggi pazzta,1.0,69.8,7.7,1.9,6.8,2.0,1.78,0.0,0.0,0.0
8461380000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature's essence almond and honey -  - 400ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yippee! - sunfeast - 280g,2.0,62.5,9.6,18.6,3.6,0.0,0.0,0.0,0.0,0.0
Kismis - Parle - 12g,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myfitness Chocolate peanut butter - 510 g,2.0,18.75,25.0,46.875,9.375,6.25,0.867,0.0,0.0,0.0
Little Heart 75g - 50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC cashew - 10,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bru instant Coffee,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hide and Seek chocochip cookies,2.0,69.5,6.3,21.4,28.9,0.0,0.0,0.0,0.0,0.0
Ferrero Rocher,2.0,44.4,8.2,42.7,39.9,0.0,0.0,0.0,0.0,0.0
Kettle corn,523.0,23.0,1.0,2.8,12.0,1.0,0.295,0.0,0.0,0.0
31290143009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raspberry lucozade sport,473.0,6.3,1.2,0.0,3.5,0.0,0.12,0.0,0.0,0.0
trail mix - boyo - 200 grams,2.0,37.0,15.0,38.0,23.0,10.0,0.024,0.0,0.0,0.0
dairy milk - cadbury - 12 gram,2.0,64.2,5.6,27.9,61.0,0.0,0.231,0.0,0.0,0.0
delight nuts Omani dates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amul masti dahi - 1 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veggie Chicken - Good dot - 250,768.0,11.8,25.92,3.62,0.0,0.0,0.0,0.0,0.0,0.0
X-press Instant Noodles Masala Delight,1.0,63.0,3.0,20.0,1.95,0.0,3.15,0.0,0.0,0.0
Pistachios - Vinod - 250 g,57.0,10.0,1.245,7.0,13.0,20.0,145.0,0.0,0.0,0.0
Walnut Rernels - Vindo - 250 g,2.0,1.6,2.6,64.5,11.0,0.0,15.6,0.0,0.0,0.0
Coconut Dreamz Biscuit,1.0,76.0,6.2,12.7,31.5,0.0,0.37,0.0,0.0,0.0
Mamra giri Almond - Bliss - 250g,2.0,16.06,22.12,55.02,0.0,10.65,0.0,0.0,0.0,0.0
gol kachauri - Haldiram's - 200 g,2.0,0.0,7.84,25.94,0.0,52.7,4.86,0.0,0.0,0.0
Dry fruit mix - Haldiram's - 200 g,2.0,0.0,6.1,30.8,44.91,8.05,17.15,0.0,0.0,0.0
8904020000000,1.0,75.3,8.5,8.5,41.7,0.0,0.0,0.0,0.0,0.0
Multigrain Dosa - MTR - 500g,1.0,0.0,8.0,5.4,72.0,0.0,13.0,0.0,0.0,0.0
rasgulla - bikaji - 100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bikasul - 500 mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English oven -  - 400g,1.0,22.0,9.0,88.0,77.0,5.0,8.0,0.0,0.0,0.0
Knorr soupy noodles mast masala,1.0,63.3,10.2,15.8,10.3,1.1,4.775,0.0,0.0,0.0
Kelloggs Crunchy Granola Almonds & Cranberries - 460 g,1.0,0.0,5.0,16.0,70.6,28.0,7.0,0.0,0.0,0.0
Yippe noodles - ITC - 60G,1.0,62.6,9.0,20.1,3.0,0.0,0.0,0.0,0.0,0.0
Good life black salt 200g -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marie Light,1.0,77.6,8.3,11.5,22.2,3.0,0.722,0.0,0.0,0.0
Fruit Blast Mixed Fruit Jam,1.0,65.5,2.0,2.0,65.3,0.0,0.0,0.0,0.0,0.0
Amul Chocochips Icecream,1.0,27.6,4.4,13.5,24.5,0.0,0.115,0.0,0.0,0.0
Arabian Premium Dates,349.0,19.6,0.5,0.4,15.5,0.0,0.0,0.0,0.0,0.0
Glucose-D,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butter cookies,2.0,68.9,7.5,19.5,25.0,0.0,0.0,0.0,0.0,0.0
Breakfast protein bar - Yoga Bar - 50g,1.0,62.2,16.0,14.6,15.8,13.8,0.0,0.0,0.0,0.0
Maaza - 150 mL,184.0,11.0,0.0,0.0,10.7,0.0,0.055,0.0,0.0,0.0
Sofit Soya Drink (Kesar Pista Flavour) - Hershey's India - 1 l,295.0,0.001,0.0,1.6,0.03,0.0,10.8,0.0,0.0,0.0
Snappers,2.0,65.5,7.3,21.8,11.0,0.0,0.0,0.0,0.0,0.0
Doodh Biscuits,1.0,72.0,7.2,17.0,24.0,6.0,0.0,0.0,0.0,0.0
NACHO CHIPS,2.0,66.26,7.43,22.11,5.24,3.98,1.596,0.0,0.0,0.0
Caramilk bars,1.0,80.0,2.0,12.0,58.0,0.0,0.0,0.0,0.0,0.0
Chocos crunch bites - Kellogg's,1.0,84.9,4.0,3.1,31.0,30.0,0.45,0.0,0.0,0.0
Fruit Cake with Raisin & Tutti Frutti - winkies - 130 g,1.0,0.11,32.87,20.06,78.0,53.09,0.0,0.0,0.0,0.0
Slice - PepsiCo Inc. - 1.75 l,268.0,15.9,0.0,0.0,15.5,0.0,0.023,0.0,0.0,0.0
Cold coffee,267.0,7.064,8.182,0.318,6.264,0.0,0.0,0.0,0.0,0.0
Chat Masala - Bitta - 100gm,126.0,22.2,6.0,3.3,0.0,2.0,0.0,0.0,0.0,0.0
Mithi orange candy - 100 g,1.0,97.1,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
אורז בסמוי חום מלא - וילי פוד,519.0,25.6,2.8,0.9,0.0,1.6,0.0,0.0,0.0,0.0
Grape - Real - 1Litre,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3948730000000,56.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0
Protinex,1.0,54.4,34.0,2.1,15.0,0.0,0.75,0.0,0.0,0.0
8901730000000,2.0,0.03,0.0,21.7,68.2,35.6,6.6,0.0,0.0,0.0
Vanilla ice cream - Dinshaw - 700ml,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Bread - Kwality - 400g,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OATS - Disano - 1 KG,1.0,65.04,17.83,7.38,1.0,14.1,0.0,0.0,0.0,0.0
Ratlami sev - Haldiram's,2.0,38.76,13.42,42.04,0.0,0.0,2.492,0.0,0.0,0.0
Cornflakes - Kellogg's,469.0,25.7,2.4,0.3,2.5,0.8,0.575,0.0,0.0,0.0
Sandwich Bread - Nilgiris - 400g,1.0,54.98,8.4,1.9,5.06,2.1,0.0,0.0,0.0,0.0
Rice bran oil,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
8901550000000,0.0,350.0,0.0,31.0,58.0,52.1,6.0,0.0,0.0,0.0
Hershey's Spreads Cocoa with Almond - 150g,2.0,0.3,59.5,32.7,13.0,61.4,0.0,0.0,0.0,0.0
Intense café flavoured milk,293.0,10.8,3.2,1.6,9.4,0.0,0.23,0.0,0.0,0.0
Mad angles mmmmm masala,2.0,57.7,6.6,32.1,3.4,0.0,1.925,0.0,0.0,0.0
Chowpati bhelpuri,2.0,45.0,13.0,16.0,4.0,8.0,0.992,0.0,0.0,0.0
Dried Dates - Dmart Premia Superior Quality - 500g,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swiss Beauty Makeup Primer - 30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chocolate family pack - Amul,929.0,24.4,4.4,12.2,0.0,0.0,0.0,0.0,0.0,0.0
Googly,1.0,68.33,6.23,23.94,21.49,0.0,0.335,0.0,0.0,0.0
Poha - Lazmi - 1kg,0.85,7.12,5.6,0.22,3.85,0.0,0.0,0.0,0.0,0.0
Tropicana,209.0,12.4,0.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Fanta - coca cola company,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8902270000000,2.0,72.6,6.0,19.1,28.8,0.0,0.0,0.0,0.0,0.0
Classic Dahi - Mother Diary,259.0,5.0,3.7,3.0,5.0,0.0,0.1,0.0,0.0,0.0
Roasted Flax Seeds - Himalayan Natives - 150 g,2.0,29.35,21.55,40.6,0.0,25.22,0.2,0.0,0.0,0.0
Topp Up,720.0,25.8,6.5,3.0,15.4,60.0,0.25,0.0,0.0,0.0
Parle G biscuits,1.0,75.9,6.7,14.6,27.7,0.0,0.702,0.0,0.0,0.0
Orbit Sepermint Flavour,774.0,70.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Peanut Butter - My Fitness - 1.25 Kg,2.0,19.0,26.0,50.0,10.0,0.0,0.875,0.0,0.0,0.0
Butter Bonn Biscuits,2.0,74.3,7.2,19.4,26.5,0.9,0.87,0.0,0.0,0.0
creamy corn,1.0,71.4,10.3,6.7,11.4,0.0,0.0,0.0,0.0,0.0
Dry Fruits,255.0,15.0,1.1,0.5,9.0,3.0,0.0,0.0,0.0,0.0
Doritos,628.0,18.0,2.0,7.0,0.0,1.0,0.7,0.0,0.0,0.0
Stack Up - Simply Salted - Balaji Wafer - 60g,2.0,58.7,4.8,31.1,0.5,0.0,2.125,0.0,0.0,0.0
Special Toned Milk - nandini - 200ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepsi,180.0,10.9,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0
Instant noodles - Maggi,1.0,59.6,8.0,13.5,1.8,0.0,4.6,0.0,0.0,0.0
Choco Fill'O' - Gone Mad - 24 g,1.0,0.1,0.0,18.0,72.0,28.0,6.0,0.0,0.0,0.0
Lay's American Style Cream And Onion,418.0,53.0,6.7,33.0,16.0,0.0,0.0,0.0,0.0,0.0
garlic,2.0,58.16,6.1,26.71,4.9,0.0,1.588,0.0,0.0,0.0
cornado,2.0,63.0,5.0,29.0,3.0,4.0,1.575,0.0,0.0,0.0
collagen refreshers,251.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dlecta Natural Cheddar,1.0,6.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiger glucose biscuits - Britannia - 49.7 grams,1.0,76.6,7.5,13.4,24.1,0.0,0.317,0.0,0.0,0.0
banana mari,2.0,54.58,2.77,36.21,0.0,0.0,0.0,0.0,0.0,0.0
Pure Made Syrup - Torani,1.0,66.7,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0
Horlicks - 18g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taan jeera masala sofa,138.0,8.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0
Elite good for you - 200g,1.78,1.78,246.0,0.38,0.0,6.26,0.0,0.0,0.0,0.0
Bourn Vita,1.0,73.5,6.7,15.1,34.2,0.0,0.705,0.0,0.0,0.0
Soystix - Haldiram's,795.0,17.0,3.0,12.0,1.0,1.0,1.025,0.0,0.0,0.0
Tofu - Mooz Formaggio - 200 g,586.0,4.5,14.19,2.89,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,2.0,57.0,7.2,33.0,32.0,11.8,0.0,0.0,0.0,0.0
Britannia treat Croissant Mixed Fruit - 47g,1.0,59.0,5.5,16.2,26.2,0.0,2.0,0.0,0.0,0.0
Tarte en or - Herta,33.0,18.0,7.4,9.9,0.8,2.8,38.0,0.0,0.0,0.0
Papdi gathiya,2.0,36.0,12.5,46.5,1.0,0.0,1.978,0.0,0.0,0.0
banana sily yellow,2.0,58.5,3.1,33.4,0.0,0.0,0.0,0.0,0.0,0.0
cold coffee,172.0,6.333,1.889,0.944,6.333,0.0,0.0,0.0,0.0,0.0
